tipo,activo,from,open,close,max,min,volume
turbo,SNAP-OTC,1788302340,2.7595,2.9125,2.9315,2.6935,0
turbo,SNAP-OTC,1788302400,2.9045,2.9145,2.9395,2.7865,0
turbo,SNAP-OTC,1788302460,2.9195,3.0205,3.0255,2.8715,0
turbo,SNAP-OTC,1788302520,3.0295,3.0205,3.1155,2.9775,0
turbo,SNAP-OTC,1788302580,3.0245,3.2145,3.2255,3.0035,0
turbo,SNAP-OTC,1788302640,3.2095,3.3205,3.3355,3.1855,0
turbo,SNAP-OTC,1788302700,3.3255,3.2215,3.3535,3.1995,0
turbo,SNAP-OTC,1788302760,3.2175,3.3555,3.3655,3.1465,0
turbo,SNAP-OTC,1788302820,3.3645,3.4215,3.4455,3.2395,0
turbo,SNAP-OTC,1788302880,3.4155,3.2905,3.4325,3.2565,0
turbo,SNAP-OTC,1788302940,3.2745,3.1095,3.3005,3.1065,0
turbo,SNAP-OTC,1788303000,3.1035,3.1045,3.1745,3.0695,0
turbo,SNAP-OTC,1788303060,3.0975,3.0665,3.1385,3.0375,0
turbo,SNAP-OTC,1788303120,3.0715,3.0035,3.0885,2.9965,0
turbo,SNAP-OTC,1788303180,3.0125,2.8985,3.0355,2.8435,0
turbo,SNAP-OTC,1788303240,2.8905,2.9645,2.9855,2.8215,0
turbo,SNAP-OTC,1788303300,2.9605,2.7805,3.0165,2.7805,0
turbo,SNAP-OTC,1788303360,2.7725,2.8105,2.8115,2.6825,0
turbo,SNAP-OTC,1788303420,2.8035,2.8395,2.8515,2.6995,0
turbo,SNAP-OTC,1788303480,2.8455,2.9545,2.9675,2.8155,0
turbo,SNAP-OTC,1788303540,2.9595,2.9925,3.0755,2.9445,0
turbo,SNAP-OTC,1788303600,2.9865,2.9995,3.0555,2.9615,0
turbo,SNAP-OTC,1788303660,2.9935,2.9325,3.0435,2.9145,0
turbo,SNAP-OTC,1788303720,2.9275,2.9255,2.9565,2.8625,0
turbo,SNAP-OTC,1788303780,2.9215,2.9685,2.9905,2.8995,0
turbo,SNAP-OTC,1788303840,2.9755,3.1675,3.1925,2.9715,0
turbo,SNAP-OTC,1788303900,3.1785,3.2255,3.2675,3.1665,0
turbo,SNAP-OTC,1788303960,3.2165,3.2055,3.2675,3.1155,0
turbo,SNAP-OTC,1788304020,3.2095,3.2145,3.3155,3.1985,0
turbo,SNAP-OTC,1788304080,3.2215,3.3355,3.4165,3.1935,0
turbo,SNAP-OTC,1788304140,3.3405,3.4835,3.5025,3.3255,0
turbo,SNAP-OTC,1788304200,3.4745,3.4825,3.5035,3.3885,0
turbo,SNAP-OTC,1788304260,3.4925,3.4315,3.5665,3.4205,0
turbo,SNAP-OTC,1788304320,3.4245,3.5105,3.5385,3.4005,0
turbo,SNAP-OTC,1788304380,3.5015,3.5745,3.5805,3.3845,0
turbo,SNAP-OTC,1788304440,3.5845,3.3905,3.6205,3.3765,0
turbo,SNAP-OTC,1788304500,3.3835,3.4105,3.4685,3.3315,0
turbo,SNAP-OTC,1788304560,3.4185,3.3735,3.4815,3.3465,0
turbo,SNAP-OTC,1788304620,3.3785,3.4335,3.4575,3.3775,0
turbo,SNAP-OTC,1788304680,3.4435,3.5315,3.5895,3.3585,0
turbo,SNAP-OTC,1788304740,3.5235,3.3715,3.5975,3.3455,0
turbo,SNAP-OTC,1788304800,3.3655,3.3485,3.3975,3.1955,0
turbo,SNAP-OTC,1788304860,3.3385,3.4485,3.4735,3.2545,0
turbo,SNAP-OTC,1788304920,3.4595,3.3305,3.4695,3.3175,0
turbo,SNAP-OTC,1788304980,3.3455,3.5015,3.5785,3.3385,0
turbo,SNAP-OTC,1788305040,3.4925,3.3695,3.5365,3.2785,0
turbo,SNAP-OTC,1788305100,3.3735,3.3445,3.4035,3.2915,0
turbo,SNAP-OTC,1788305160,3.3395,3.4655,3.5735,3.3385,0
turbo,SNAP-OTC,1788305220,3.4565,3.3855,3.4825,3.3595,0
turbo,SNAP-OTC,1788305280,3.3785,3.4385,3.5125,3.3075,0
turbo,SNAP-OTC,1788305340,3.4435,3.4095,3.4435,3.3415,0
turbo,SNAP-OTC,1788305400,3.3935,3.4515,3.4975,3.3345,0
turbo,SNAP-OTC,1788305460,3.4615,3.2665,3.4615,3.2185,0
turbo,SNAP-OTC,1788305520,3.2745,3.2105,3.2745,3.1325,0
turbo,SNAP-OTC,1788305580,3.2155,3.2885,3.3405,3.1665,0
turbo,SNAP-OTC,1788305640,3.2815,3.2855,3.3695,3.2695,0
turbo,SNAP-OTC,1788305700,3.2795,3.4015,3.4635,3.2795,0
turbo,SNAP-OTC,1788305760,3.4115,3.6205,3.6255,3.3925,0
turbo,SNAP-OTC,1788305820,3.6155,3.6135,3.6875,3.5355,0
turbo,SNAP-OTC,1788305880,3.6185,3.5425,3.7435,3.5405,0
turbo,SNAP-OTC,1788305940,3.5565,3.5345,3.5935,3.4445,0
turbo,SNAP-OTC,1788306000,3.5445,3.5395,3.6265,3.5215,0
turbo,SNAP-OTC,1788306060,3.5295,3.6125,3.6185,3.4825,0
turbo,SNAP-OTC,1788306120,3.6175,3.7055,3.7205,3.5445,0
turbo,SNAP-OTC,1788306180,3.6965,3.5285,3.7025,3.5275,0
turbo,SNAP-OTC,1788306240,3.5335,3.5135,3.6525,3.4845,0
turbo,SNAP-OTC,1788306300,3.5215,3.2605,3.5215,3.2585,0
turbo,SNAP-OTC,1788306360,3.2545,3.3005,3.3005,3.1075,0
turbo,SNAP-OTC,1788306420,3.2965,3.3605,3.4865,3.2835,0
turbo,SNAP-OTC,1788306480,3.3695,3.1955,3.4145,3.1765,0
turbo,SNAP-OTC,1788306540,3.2025,3.2075,3.3005,3.1315,0
turbo,SNAP-OTC,1788306600,3.2155,3.1715,3.2655,3.0795,0
turbo,SNAP-OTC,1788306660,3.1635,3.1655,3.2555,3.0855,0
turbo,SNAP-OTC,1788306720,3.1745,3.3035,3.3185,3.0925,0
turbo,SNAP-OTC,1788306780,3.3075,3.3445,3.3975,3.2565,0
turbo,SNAP-OTC,1788306840,3.3545,3.3205,3.3865,3.2265,0
turbo,SNAP-OTC,1788306900,3.3115,3.4135,3.4135,3.2455,0
turbo,SNAP-OTC,1788306960,3.4085,3.0435,3.4335,3.0185,0
turbo,SNAP-OTC,1788307020,3.0355,3.0035,3.0745,2.9595,0
turbo,SNAP-OTC,1788307080,2.9985,3.2205,3.2495,2.9985,0
turbo,SNAP-OTC,1788307140,3.2245,3.2205,3.3185,3.2075,0
turbo,SNAP-OTC,1788307200,3.2315,3.2095,3.2885,3.1605,0
turbo,SNAP-OTC,1788307260,3.2155,3.1605,3.3095,3.1055,0
turbo,SNAP-OTC,1788307320,3.1665,3.2115,3.2645,3.1255,0
turbo,SNAP-OTC,1788307380,3.2195,3.1865,3.2575,3.0815,0
turbo,SNAP-OTC,1788307440,3.1935,3.2525,3.3395,3.1895,0
turbo,SNAP-OTC,1788307500,3.2615,3.0415,3.2635,3.0025,0
turbo,SNAP-OTC,1788307560,3.0505,2.9985,3.0755,2.9735,0
turbo,SNAP-OTC,1788307620,3.0045,3.0485,3.1085,2.9845,0
turbo,SNAP-OTC,1788307680,3.0575,3.1615,3.1785,3.0185,0
turbo,SNAP-OTC,1788307740,3.1555,2.9865,3.1985,2.9555,0
turbo,SNAP-OTC,1788307800,2.9775,3.1135,3.1235,2.9625,0
turbo,SNAP-OTC,1788307860,3.1075,3.0985,3.1705,3.0565,0
turbo,SNAP-OTC,1788307920,3.0935,3.0215,3.1795,3.0115,0
turbo,SNAP-OTC,1788307980,3.0265,2.8945,3.0475,2.8545,0
turbo,SNAP-OTC,1788308040,2.9005,2.9815,3.0225,2.8495,0
turbo,SNAP-OTC,1788308100,2.9865,2.8175,2.9975,2.8175,0
turbo,SNAP-OTC,1788308160,2.8215,2.8195,2.9285,2.8185,0
turbo,SNAP-OTC,1788308220,2.8145,2.7975,2.8495,2.7665,0
turbo,SNAP-OTC,1788308280,2.7915,2.9485,3.0255,2.7845,0
turbo,SNAP-OTC,1788308340,2.9405,3.0785,3.1105,2.9315,0
turbo,SNAP-OTC,1788308400,3.0725,3.0495,3.0895,2.9275,0
turbo,SNAP-OTC,1788308460,3.0435,3.1525,3.1835,3.0435,0
turbo,SNAP-OTC,1788308520,3.1455,3.2985,3.3755,3.1455,0
turbo,SNAP-OTC,1788308580,3.3035,3.2725,3.4225,3.2355,0
turbo,SNAP-OTC,1788308640,3.2665,3.0805,3.2665,3.0805,0
turbo,SNAP-OTC,1788308700,3.0855,3.1915,3.2615,3.0565,0
turbo,SNAP-OTC,1788308760,3.2005,3.3125,3.3475,3.1445,0
turbo,SNAP-OTC,1788308820,3.3015,3.3355,3.4185,3.2715,0
turbo,SNAP-OTC,1788308880,3.3295,3.3735,3.3925,3.2625,0
turbo,SNAP-OTC,1788308940,3.3785,3.2085,3.3805,3.2085,0
turbo,SNAP-OTC,1788309000,3.2025,3.2605,3.2975,3.1275,0
turbo,SNAP-OTC,1788309060,3.2535,3.2975,3.3305,3.1905,0
turbo,SNAP-OTC,1788309120,3.3035,3.1805,3.3115,3.1725,0
turbo,SNAP-OTC,1788309180,3.1845,3.0855,3.2315,3.0815,0
turbo,SNAP-OTC,1788309240,3.0905,2.9725,3.1905,2.9675,0
turbo,SNAP-OTC,1788309300,2.9805,3.0265,3.0945,2.9565,0
turbo,SNAP-OTC,1788309360,3.0315,2.9645,3.1655,2.9515,0
turbo,SNAP-OTC,1788309420,2.9775,2.8535,2.9845,2.8075,0
turbo,SNAP-OTC,1788309480,2.8615,2.8565,2.8645,2.7605,0
turbo,SNAP-OTC,1788309540,2.8615,2.7585,2.8665,2.7405,0
turbo,SNAP-OTC,1788309600,2.7635,2.7515,2.8195,2.7235,0
turbo,SNAP-OTC,1788309660,2.7445,2.7615,2.8005,2.7245,0
turbo,SNAP-OTC,1788309720,2.7575,2.6345,2.7825,2.6255,0
turbo,SNAP-OTC,1788309780,2.6405,2.5515,2.6545,2.5515,0
turbo,SNAP-OTC,1788309840,2.5545,2.3615,2.5675,2.3535,0
turbo,SNAP-OTC,1788309900,2.3575,2.3795,2.4135,2.3245,0
turbo,SNAP-OTC,1788309960,2.3745,2.3365,2.4215,2.3305,0
turbo,SNAP-OTC,1788310020,2.3315,2.3715,2.4265,2.2895,0
turbo,SNAP-OTC,1788310080,2.3675,2.4865,2.4965,2.3305,0
turbo,SNAP-OTC,1788310140,2.4805,2.3485,2.4835,2.3485,0
turbo,SNAP-OTC,1788310200,2.3545,2.5105,2.5115,2.3285,0
turbo,SNAP-OTC,1788310260,2.5195,2.5965,2.6055,2.4865,0
turbo,SNAP-OTC,1788310320,2.6015,2.7315,2.7635,2.5725,0
turbo,SNAP-OTC,1788310380,2.7395,2.8705,2.8705,2.7105,0
turbo,SNAP-OTC,1788310440,2.8645,3.0815,3.1235,2.8255,0
turbo,SNAP-OTC,1788310500,3.0895,2.9555,3.1015,2.9485,0
turbo,SNAP-OTC,1788310560,2.9505,2.8025,3.0015,2.8025,0
turbo,SNAP-OTC,1788310620,2.7915,2.7375,2.9145,2.7375,0
turbo,SNAP-OTC,1788310680,2.7325,2.8335,2.8925,2.7145,0
turbo,SNAP-OTC,1788310740,2.8275,2.8035,2.8585,2.7705,0
turbo,SNAP-OTC,1788310800,2.8105,2.6895,2.8915,2.6805,0
turbo,SNAP-OTC,1788310860,2.6855,2.7835,2.8245,2.6605,0
turbo,SNAP-OTC,1788310920,2.7905,2.8575,2.9085,2.7905,0
turbo,SNAP-OTC,1788310980,2.8505,2.7365,2.8935,2.7365,0
turbo,SNAP-OTC,1788311040,2.7425,2.8135,2.8705,2.6855,0
turbo,SNAP-OTC,1788311100,2.8035,2.8075,2.8605,2.7325,0
turbo,SNAP-OTC,1788311160,2.8015,2.6995,2.8025,2.6485,0
turbo,SNAP-OTC,1788311220,2.7065,2.9165,2.9295,2.7005,0
turbo,SNAP-OTC,1788311280,2.9245,2.8145,2.9305,2.7735,0
turbo,SNAP-OTC,1788311340,2.8215,2.9265,2.9565,2.8135,0
turbo,SNAP-OTC,1788311400,2.9195,2.6975,2.9195,2.6685,0
turbo,SNAP-OTC,1788311460,2.6905,2.6205,2.7095,2.5925,0
turbo,SNAP-OTC,1788311520,2.6165,2.4475,2.6475,2.4235,0
turbo,SNAP-OTC,1788311580,2.4535,2.3595,2.4895,2.3375,0
turbo,SNAP-OTC,1788311640,2.3555,2.2355,2.3715,2.2315,0
turbo,SNAP-OTC,1788311700,2.2285,2.0285,2.2445,2.0285,0
turbo,SNAP-OTC,1788311760,2.0345,1.9595,2.0355,1.9435,0
turbo,SNAP-OTC,1788311820,1.9625,2.0255,2.0735,1.9475,0
turbo,SNAP-OTC,1788311880,2.0215,2.0235,2.0925,2.0045,0
turbo,SNAP-OTC,1788311940,2.0265,2.1005,2.1075,2.0205,0
turbo,SNAP-OTC,1788312000,2.0975,2.0815,2.1185,2.0515,0
turbo,SNAP-OTC,1788312060,2.0865,2.1655,2.1655,2.0755,0
turbo,SNAP-OTC,1788312120,2.1695,2.2765,2.2835,2.1325,0
turbo,SNAP-OTC,1788312180,2.2695,2.3115,2.3275,2.2475,0
turbo,SNAP-OTC,1788312240,2.3065,2.2695,2.3415,2.2465,0
turbo,SNAP-OTC,1788312300,2.2655,2.2465,2.3645,2.2425,0
turbo,SNAP-OTC,1788312360,2.2365,2.1095,2.2615,2.1095,0
turbo,SNAP-OTC,1788312420,2.1065,2.1285,2.1615,2.0825,0
turbo,SNAP-OTC,1788312480,2.1325,2.1385,2.1385,2.0505,0
turbo,SNAP-OTC,1788312540,2.1425,2.0715,2.1945,2.0265,0
turbo,SNAP-OTC,1788312600,2.0665,2.0515,2.0895,1.9985,0
turbo,SNAP-OTC,1788312660,2.0455,2.1005,2.1155,1.9895,0
turbo,SNAP-OTC,1788312720,2.1035,2.1815,2.1855,2.0945,0
turbo,SNAP-OTC,1788312780,2.1865,2.1515,2.1955,2.1275,0
turbo,SNAP-OTC,1788312840,2.1465,2.1015,2.1705,2.0965,0
turbo,SNAP-OTC,1788312900,2.1065,2.2645,2.2705,2.1065,0
turbo,SNAP-OTC,1788312960,2.2705,2.2745,2.3375,2.2485,0
turbo,SNAP-OTC,1788313020,2.2775,2.3645,2.4085,2.2775,0
turbo,SNAP-OTC,1788313080,2.3675,2.3725,2.4325,2.3255,0
turbo,SNAP-OTC,1788313140,2.3775,2.4345,2.5065,2.3595,0
turbo,SNAP-OTC,1788313200,2.4415,2.4265,2.5075,2.4165,0
turbo,SNAP-OTC,1788313260,2.4195,2.3355,2.4515,2.3285,0
turbo,SNAP-OTC,1788313320,2.3315,2.2565,2.3395,2.2565,0
turbo,SNAP-OTC,1788313380,2.2615,2.2665,2.2885,2.2195,0
turbo,SNAP-OTC,1788313440,2.2625,2.1135,2.2625,2.0805,0
turbo,SNAP-OTC,1788313500,2.1095,2.1205,2.1435,2.0645,0
turbo,SNAP-OTC,1788313560,2.1255,2.0525,2.1575,2.0345,0
turbo,SNAP-OTC,1788313620,2.0485,2.1495,2.1555,2.0445,0
turbo,SNAP-OTC,1788313680,2.1535,2.1665,2.2425,2.1335,0
turbo,SNAP-OTC,1788313740,2.1625,2.0575,2.1635,2.0315,0
turbo,SNAP-OTC,1788313800,2.0525,2.1135,2.1405,2.0445,0
turbo,SNAP-OTC,1788313860,2.1085,2.0415,2.1785,2.0415,0
turbo,SNAP-OTC,1788313920,2.0375,1.9425,2.0815,1.9295,0
turbo,SNAP-OTC,1788313980,1.9375,1.9125,1.9405,1.8705,0
turbo,SNAP-OTC,1788314040,1.9205,1.8525,1.9545,1.8425,0
turbo,SNAP-OTC,1788314100,1.8475,1.7835,1.8715,1.7785,0
turbo,SNAP-OTC,1788314160,1.7875,1.7805,1.7975,1.7445,0
turbo,SNAP-OTC,1788314220,1.7785,1.7835,1.8195,1.7585,0
turbo,SNAP-OTC,1788314280,1.7885,1.8505,1.8995,1.7755,0
turbo,SNAP-OTC,1788314340,1.8465,1.8335,1.8695,1.7985,0
turbo,SNAP-OTC,1788314400,1.8375,1.8415,1.8955,1.8205,0
turbo,SNAP-OTC,1788314460,1.8375,1.8295,1.8575,1.7855,0
turbo,SNAP-OTC,1788314520,1.8345,1.8765,1.8855,1.8165,0
turbo,SNAP-OTC,1788314580,1.8785,2.0015,2.0065,1.8735,0
turbo,SNAP-OTC,1788314640,2.0065,2.0355,2.0505,1.9715,0
turbo,SNAP-OTC,1788314700,2.0435,1.8645,2.0435,1.8605,0
turbo,SNAP-OTC,1788314760,1.8595,1.7845,1.8775,1.7555,0
turbo,SNAP-OTC,1788314820,1.7795,1.7795,1.7945,1.7505,0
turbo,SNAP-OTC,1788314880,1.7745,1.8205,1.8595,1.7695,0
turbo,SNAP-OTC,1788314940,1.8225,1.8435,1.8585,1.7995,0
turbo,SNAP-OTC,1788315000,1.8385,1.8805,1.9355,1.8385,0
turbo,SNAP-OTC,1788315060,1.8715,1.8445,1.9185,1.8395,0
turbo,SNAP-OTC,1788315120,1.8475,1.8225,1.9065,1.8225,0
turbo,SNAP-OTC,1788315180,1.8195,1.7755,1.8335,1.7575,0
turbo,SNAP-OTC,1788315240,1.7805,1.8585,1.8955,1.7765,0
turbo,SNAP-OTC,1788315300,1.8635,1.9465,1.9885,1.8485,0
turbo,SNAP-OTC,1788315360,1.9435,1.9545,1.9545,1.8905,0
turbo,SNAP-OTC,1788315420,1.9505,2.0085,2.0155,1.9425,0
turbo,SNAP-OTC,1788315480,2.0005,1.9205,2.0785,1.9155,0
turbo,SNAP-OTC,1788315540,1.9245,2.0535,2.0745,1.9125,0
turbo,SNAP-OTC,1788315600,2.0485,2.1465,2.1555,2.0255,0
turbo,SNAP-OTC,1788315660,2.1565,2.1315,2.2165,2.1155,0
turbo,SNAP-OTC,1788315720,2.1345,2.1895,2.1905,2.0835,0
turbo,SNAP-OTC,1788315780,2.1845,2.1235,2.2355,2.0975,0
turbo,SNAP-OTC,1788315840,2.1275,2.1735,2.1865,2.1045,0
turbo,SNAP-OTC,1788315900,2.1785,2.2365,2.2685,2.1445,0
turbo,SNAP-OTC,1788315960,2.2425,2.1675,2.2865,2.1345,0
turbo,SNAP-OTC,1788316020,2.1635,2.0975,2.1905,2.0785,0
turbo,SNAP-OTC,1788316080,2.0915,2.1105,2.1605,2.0855,0
turbo,SNAP-OTC,1788316140,2.1135,2.1475,2.1555,2.0545,0
turbo,SNAP-OTC,1788316200,2.1445,2.1215,2.1545,2.0585,0
turbo,SNAP-OTC,1788316260,2.1175,2.2495,2.2635,2.1085,0
turbo,SNAP-OTC,1788316320,2.2455,2.1945,2.2775,2.1435,0
turbo,SNAP-OTC,1788316380,2.2005,2.0795,2.2055,2.0565,0
turbo,SNAP-OTC,1788316440,2.0735,2.0765,2.1125,2.0325,0
turbo,SNAP-OTC,1788316500,2.0725,1.9695,2.0725,1.9595,0
turbo,SNAP-OTC,1788316560,1.9645,2.0595,2.0775,1.9645,0
turbo,SNAP-OTC,1788316620,2.0495,1.9975,2.1195,1.9925,0
turbo,SNAP-OTC,1788316680,2.0015,2.0795,2.0925,1.9855,0
turbo,SNAP-OTC,1788316740,2.0825,2.1335,2.1515,2.0405,0
turbo,SNAP-OTC,1788316800,2.1395,2.1525,2.2235,2.1395,0
turbo,SNAP-OTC,1788316860,2.1575,2.2395,2.2625,2.1485,0
turbo,SNAP-OTC,1788316920,2.2335,2.2195,2.2335,2.1205,0
turbo,SNAP-OTC,1788316980,2.2245,2.1195,2.2395,2.1065,0
turbo,SNAP-OTC,1788317040,2.1225,1.9905,2.1525,1.9795,0
turbo,SNAP-OTC,1788317100,1.9955,1.9105,2.0095,1.8925,0
turbo,SNAP-OTC,1788317160,1.9065,1.9385,2.0085,1.9015,0
turbo,SNAP-OTC,1788317220,1.9405,1.9115,1.9565,1.8855,0
turbo,SNAP-OTC,1788317280,1.9075,1.9285,1.9555,1.8805,0
turbo,SNAP-OTC,1788317340,1.9235,1.7735,1.9325,1.7735,0
turbo,SNAP-OTC,1788317400,1.7695,1.7535,1.7885,1.7175,0
turbo,SNAP-OTC,1788317460,1.7575,1.7985,1.8615,1.7275,0
turbo,SNAP-OTC,1788317520,1.8005,1.7415,1.8085,1.7285,0
turbo,SNAP-OTC,1788317580,1.7385,1.8215,1.8225,1.7085,0
turbo,SNAP-OTC,1788317640,1.8245,1.8485,1.8615,1.7865,0
turbo,SNAP-OTC,1788317700,1.8525,1.8305,1.8825,1.8275,0
turbo,SNAP-OTC,1788317760,1.8335,1.8455,1.8635,1.8085,0
turbo,SNAP-OTC,1788317820,1.8415,1.8495,1.8945,1.7955,0
turbo,SNAP-OTC,1788317880,1.8455,1.9105,1.9345,1.8435,0
turbo,SNAP-OTC,1788317940,1.9045,1.9865,1.9995,1.8675,0
turbo,SNAP-OTC,1788318000,1.9905,1.9805,1.9915,1.9215,0
turbo,SNAP-OTC,1788318060,1.9745,1.9585,2.0825,1.9585,0
turbo,SNAP-OTC,1788318120,1.9675,1.9835,1.9955,1.9365,0
turbo,SNAP-OTC,1788318180,1.9775,1.9565,2.0435,1.9555,0
turbo,SNAP-OTC,1788318240,1.9605,2.1285,2.1285,1.9605,0
turbo,SNAP-OTC,1788318300,2.1325,2.0615,2.1475,2.0395,0
turbo,SNAP-OTC,1788318360,2.0675,2.1165,2.1215,2.0505,0
turbo,SNAP-OTC,1788318420,2.1105,2.1795,2.1795,2.0735,0
turbo,SNAP-OTC,1788318480,2.1835,2.3665,2.3765,2.1725,0
turbo,SNAP-OTC,1788318540,2.3715,2.3245,2.5145,2.3245,0
turbo,SNAP-OTC,1788318600,2.3295,2.2615,2.3715,2.2445,0
turbo,SNAP-OTC,1788318660,2.2545,2.2605,2.2695,2.2095,0
turbo,SNAP-OTC,1788318720,2.2555,2.2275,2.3725,2.2275,0
turbo,SNAP-OTC,1788318780,2.2235,2.2825,2.2895,2.2135,0
turbo,SNAP-OTC,1788318840,2.2875,2.2825,2.3405,2.2615,0
turbo,SNAP-OTC,1788318900,2.2765,2.1715,2.2965,2.1435,0
turbo,SNAP-OTC,1788318960,2.1675,2.0515,2.2025,2.0305,0
turbo,SNAP-OTC,1788319020,2.0575,2.0465,2.0615,1.9965,0
turbo,SNAP-OTC,1788319080,2.0415,1.9325,2.0615,1.9235,0
turbo,SNAP-OTC,1788319140,1.9375,1.9095,1.9575,1.8735,0
turbo,SNAP-OTC,1788319200,1.9155,1.8585,1.9645,1.8505,0
turbo,SNAP-OTC,1788319260,1.8525,1.8255,1.8595,1.7975,0
turbo,SNAP-OTC,1788319320,1.8225,1.6995,1.8355,1.6765,0
turbo,SNAP-OTC,1788319380,1.7035,1.7875,1.7875,1.6705,0
turbo,SNAP-OTC,1788319440,1.7905,1.6615,1.8135,1.6445,0
turbo,SNAP-OTC,1788319500,1.6665,1.6175,1.6695,1.5925,0
turbo,SNAP-OTC,1788319560,1.6205,1.6505,1.6935,1.5985,0
turbo,SNAP-OTC,1788319620,1.6555,1.5975,1.6875,1.5895,0
turbo,SNAP-OTC,1788319680,1.6005,1.4965,1.6335,1.4745,0
turbo,SNAP-OTC,1788319740,1.5005,1.5015,1.5325,1.4865,0
turbo,SNAP-OTC,1788319800,1.5045,1.4925,1.5215,1.4665,0
turbo,SNAP-OTC,1788319860,1.4905,1.4305,1.5145,1.4155,0
turbo,SNAP-OTC,1788319920,1.4265,1.3125,1.4285,1.3125,0
turbo,SNAP-OTC,1788319980,1.3095,1.3715,1.3865,1.2885,0
turbo,SNAP-OTC,1788320040,1.3695,1.3595,1.4135,1.3495,0
turbo,SNAP-OTC,1788320100,1.3635,1.3595,1.4055,1.3575,0
turbo,SNAP-OTC,1788320160,1.3575,1.3465,1.4105,1.3305,0
turbo,SNAP-OTC,1788320220,1.3495,1.3225,1.3685,1.3225,0
turbo,SNAP-OTC,1788320280,1.3265,1.3225,1.3895,1.3165,0
turbo,SNAP-OTC,1788320340,1.3195,1.3405,1.3595,1.2925,0
turbo,SNAP-OTC,1788320400,1.3375,1.3525,1.3535,1.3125,0
turbo,SNAP-OTC,1788320460,1.3495,1.4105,1.4275,1.3485,0
turbo,SNAP-OTC,1788320520,1.4135,1.3655,1.4235,1.3415,0
turbo,SNAP-OTC,1788320580,1.3685,1.2705,1.3855,1.2695,0
turbo,SNAP-OTC,1788320640,1.2735,1.3085,1.3165,1.2585,0
turbo,SNAP-OTC,1788320700,1.3105,1.3735,1.3735,1.2915,0
turbo,SNAP-OTC,1788320760,1.3705,1.4145,1.4415,1.3705,0
turbo,SNAP-OTC,1788320820,1.4125,1.4865,1.5025,1.4085,0
turbo,SNAP-OTC,1788320880,1.4825,1.5305,1.5345,1.4735,0
turbo,SNAP-OTC,1788320940,1.5285,1.5455,1.5565,1.4895,0
turbo,SNAP-OTC,1788321000,1.5435,1.5395,1.5685,1.5015,0
turbo,SNAP-OTC,1788321060,1.5425,1.4425,1.5435,1.4385,0
turbo,SNAP-OTC,1788321120,1.4395,1.4015,1.4655,1.3905,0
turbo,SNAP-OTC,1788321180,1.3975,1.4095,1.4305,1.3805,0
turbo,SNAP-OTC,1788321240,1.4065,1.3245,1.4375,1.3225,0
turbo,SNAP-OTC,1788321300,1.3295,1.2885,1.3465,1.2885,0
turbo,SNAP-OTC,1788321360,1.2915,1.3475,1.3585,1.2685,0
turbo,SNAP-OTC,1788321420,1.3505,1.4855,1.4985,1.3445,0
turbo,SNAP-OTC,1788321480,1.4815,1.4995,1.5285,1.4645,0
turbo,SNAP-OTC,1788321540,1.4965,1.5115,1.5305,1.4855,0
turbo,SNAP-OTC,1788321600,1.5085,1.5275,1.5525,1.4715,0
turbo,SNAP-OTC,1788321660,1.5245,1.4985,1.5245,1.4765,0
turbo,SNAP-OTC,1788321720,1.4935,1.4835,1.5245,1.4705,0
turbo,SNAP-OTC,1788321780,1.4815,1.4035,1.4995,1.3905,0
turbo,SNAP-OTC,1788321840,1.3995,1.3825,1.4025,1.3265,0
turbo,SNAP-OTC,1788321900,1.3795,1.3385,1.4205,1.3345,0
turbo,SNAP-OTC,1788321960,1.3405,1.2995,1.3435,1.2955,0
turbo,SNAP-OTC,1788322020,1.3025,1.2895,1.3115,1.2625,0
turbo,SNAP-OTC,1788322080,1.2875,1.3295,1.3535,1.2785,0
turbo,SNAP-OTC,1788322140,1.3335,1.3245,1.3725,1.3085,0
turbo,SNAP-OTC,1788322200,1.3215,1.3525,1.3625,1.3145,0
turbo,SNAP-OTC,1788322260,1.3505,1.3635,1.4025,1.3415,0
turbo,SNAP-OTC,1788322320,1.3675,1.4075,1.4225,1.3575,0
turbo,SNAP-OTC,1788322380,1.4045,1.4105,1.4205,1.3595,0
turbo,SNAP-OTC,1788322440,1.4075,1.3275,1.4125,1.2835,0
turbo,SNAP-OTC,1788322500,1.3295,1.3595,1.3715,1.3075,0
turbo,SNAP-OTC,1788322560,1.3575,1.4005,1.4265,1.3575,0
turbo,SNAP-OTC,1788322620,1.3985,1.4075,1.4275,1.3775,0
turbo,SNAP-OTC,1788322680,1.4095,1.5065,1.5175,1.3945,0
turbo,SNAP-OTC,1788322740,1.5105,1.5015,1.5205,1.4735,0
turbo,SNAP-OTC,1788322800,1.4965,1.5105,1.5245,1.4855,0
turbo,SNAP-OTC,1788322860,1.5125,1.5025,1.5465,1.4835,0
turbo,SNAP-OTC,1788322920,1.5065,1.4295,1.5185,1.4135,0
turbo,SNAP-OTC,1788322980,1.4255,1.4475,1.4495,1.3765,0
turbo,SNAP-OTC,1788323040,1.4445,1.4535,1.5035,1.4335,0
turbo,SNAP-OTC,1788323100,1.4505,1.4505,1.4745,1.3965,0
turbo,SNAP-OTC,1788323160,1.4545,1.5075,1.5075,1.4285,0
turbo,SNAP-OTC,1788323220,1.5035,1.3995,1.5135,1.3925,0
